round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss
6963973,2.18,124.31,43,2025-09-01T04:58:24.471000+00:00,-21.1119
6963974,3.17,105.27,47,2025-09-01T04:58:47.458700+00:00,-25.8099
6963975,17.85,120.06,53,2025-09-01T04:59:15.084900+00:00,-95.6606
6963976,1.91,98.5,46,2025-09-01T05:00:04.459400+00:00,31.5737
6963977,1.04,115.57,42,2025-09-01T05:00:25.802000+00:00,110.2354
6963978,1.22,236.74,52,2025-09-01T05:00:39.359200+00:00,154.6086
6963979,1.57,289.7,60,2025-09-01T05:00:55.016900+00:00,113.3799
6963980,2.31,287.31,65,2025-09-01T05:01:13.831600+00:00,-73.0646
6963981,10.64,247.38,53,2025-09-01T05:01:37.554100+00:00,-245.1035
6963982,1.46,180.75,48,2025-09-01T05:02:20.476200+00:00,92.2914
6963983,1.32,214.13,55,2025-09-01T05:02:38.361400+00:00,121.9949
6963984,1.34,236.27,58,2025-09-01T05:02:54.911700+00:00,135.9517
6963985,3.48,280.96,62,2025-09-01T05:03:11.810300+00:00,-59.2419
6963986,1.04,279.26,60,2025-09-01T05:03:40.629500+00:00,269.8973
6963987,33.81,214.34,52,2025-09-01T05:03:54.280100+00:00,-150.6868
6963988,2.32,227.88,51,2025-09-01T05:04:51.751400+00:00,-46.7311
6963989,3.65,239.74,54,2025-09-01T05:05:15.465400+00:00,-204.7801
6963990,1.47,275.55,62,2025-09-01T05:05:44.882600+00:00,122.56
6963991,1.65,282.76,66,2025-09-01T05:06:03.031600+00:00,49.5218
6963992,2.77,166.55,43,2025-09-01T05:06:22.419600+00:00,-84.9353
6963993,4.54,331.28,72,2025-09-01T05:06:48.393100+00:00,-280.5348
6963994,5.08,224.12,56,2025-09-01T05:07:20.518300+00:00,-142.1506
6963995,1.73,236.34,51,2025-09-01T05:07:54.118000+00:00,16.9512
6963996,1.58,245.77,58,2025-09-01T05:08:14.106200+00:00,55.3811
6963997,1.16,279.13,62,2025-09-01T05:08:33.068400+00:00,263.6624
6963998,10.99,248.68,60,2025-09-01T05:08:48.226500+00:00,-230.3069
6963999,1.0,243.16,57,2025-09-01T05:09:31.435900+00:00,243.16
6964000,1.54,243.47,56,2025-09-01T05:09:44.684500+00:00,54.6668
6964001,1.68,305.82,63,2025-09-01T05:10:03.194900+00:00,-1.2964
6964002,1.95,245.02,57,2025-09-01T05:10:22.922800+00:00,35.0921
6964003,11.81,259.71,64,2025-09-01T05:10:44.424600+00:00,-167.1062
6964004,4.52,233.32,53,2025-09-01T05:11:28.537500+00:00,-189.7233
6964005,1.31,260.22,60,2025-09-01T05:12:00.655100+00:00,204.916
6964006,2.54,260.81,66,2025-09-01T05:12:17.291400+00:00,-54.7054
6964007,1.0,223.3,52,2025-09-01T05:12:42.078900+00:00,223.3
6964008,1.45,270.1,68,2025-09-01T05:12:55.302100+00:00,155.8019
6964009,1.24,165.55,47,2025-09-01T05:13:13.114900+00:00,87.9265
6964010,2.59,251.97,52,2025-09-01T05:13:28.941600+00:00,-81.2122
6964011,1.47,253.79,54,2025-09-01T05:13:54.015100+00:00,88.0947
6964012,1.3,236.83,58,2025-09-01T05:14:12.113500+00:00,135.3473
6964013,29.34,252.21,56,2025-09-01T05:14:28.575900+00:00,-153.7256
6964014,2.31,216.85,52,2025-09-01T05:15:24.238200+00:00,-13.5536
6964015,2.15,299.95,69,2025-09-01T05:15:47.956600+00:00,5.8423
6964016,1.08,241.62,58,2025-09-01T05:16:10.651500+00:00,238.994
6964017,1.42,250.63,59,2025-09-01T05:16:24.827900+00:00,108.601
6964018,24.24,184.53,48,2025-09-01T05:16:42.434100+00:00,-126.025
6964019,5.17,277.19,63,2025-09-01T05:17:35.687300+00:00,-184.6395
6964020,1.71,215.39,53,2025-09-01T05:18:09.444800+00:00,41.5648
6964021,3.14,340.37,69,2025-09-01T05:18:29.294000+00:00,-141.0055
6964022,4.58,216.54,59,2025-09-01T05:18:56.774400+00:00,-253.7633
6964023,1.48,293.79,57,2025-09-01T05:19:29.039900+00:00,132.6428
6964024,1.23,172.62,46,2025-09-01T05:19:47.110700+00:00,112.3608
6964025,1.0,229.32,53,2025-09-01T05:20:02.939300+00:00,229.32
6964026,10.37,243.99,61,2025-09-01T05:20:16.200400+00:00,-221.1374
6964027,1.0,355.21,71,2025-09-01T05:20:58.809700+00:00,355.21
6964028,1.64,235.12,60,2025-09-01T05:21:12.102100+00:00,29.3338
6964029,3.38,260.29,56,2025-09-01T05:21:31.502700+00:00,-162.6764
6964030,1.35,213.57,52,2025-09-01T05:21:59.892400+00:00,88.7753
6964031,3.19,282.81,66,2025-09-01T05:22:16.799300+00:00,-129.4427
6964032,7.36,291.14,63,2025-09-01T05:22:44.584400+00:00,-193.518
6964033,1.0,265.4,62,2025-09-01T05:23:22.849400+00:00,265.4
6964034,17.52,234.64,58,2025-09-01T05:23:36.089300+00:00,-189.0108
6964035,1.29,211.19,48,2025-09-01T05:24:25.306600+00:00,126.2002
6964036,1.87,216.75,51,2025-09-01T05:24:41.750000+00:00,28.9382
6964037,1.23,259.15,66,2025-09-01T05:25:02.785900+00:00,142.8509
6964038,2.47,206.17,46,2025-09-01T05:25:18.653400+00:00,-32.3853
6964039,3.78,267.25,65,2025-09-01T05:25:43.127800+00:00,-267.9834
6964040,3.45,284.57,63,2025-09-01T05:26:12.992700+00:00,-67.1219
6964041,1.16,169.26,50,2025-09-01T05:26:41.684800+00:00,159.4224
6964042,2.9,240.85,62,2025-09-01T05:26:56.807400+00:00,-21.1253
6964043,2.75,249.74,64,2025-09-01T05:27:23.395000+00:00,-71.9623
6964044,2.58,238.35,58,2025-09-01T05:27:49.226600+00:00,-44.8162
6964045,1.2,270.28,64,2025-09-01T05:28:14.304300+00:00,156.4658
6964046,1.79,245.74,58,2025-09-01T05:28:29.776000+00:00,33.758
6964047,3.71,266.83,62,2025-09-01T05:28:50.226700+00:00,-245.6133
